Country,Party ID,Party Abbrev,Party Name,Party Name  (English)
BUL,2005,G-VMRO,Dvi?enie  Gergiovden,Gergiovden-VMRO
BUL,2006,KSII,Koalicija  Simeon  II,Coalition Simeon  II
BUL,2007,NOA,Nacionalno Obedinenie Ataka,National Union  Attack
BUL,2008,DSB,Demokrati za Silna Balgarija,Democrats for a Strong  Bulgaria
BUL,2009,BNS,B?algarski Naroden Sajuz,Bulgarian People?s  Union
BUL,2010,GERB,Grazhdani za evropeysko  razvitie na Balgariya,Citizens  for European Development of Bulgaria
BUL,2011,L,Lider,Lider
BUL,2012,RZS,"Red,  zakonnost i spravedlivost","Order, Lawfullness,  Justice"
CZECH,2101,CSSD,Cesk†  strana soci†lne  demokratick†,Czech  Social Democratic Party
CZECH,2102,ODS,Obcansk† Demokratick† Strana,Civic Democratic Party
CZECH,2103,KSCM,Komunistick† strana Cech a Moravy,Communist Party of Bohemia  and  Moravia
CZECH,2104,KDU-CSL,Krestansk† demokratick† unie-Ceskoslovensk†strana lidov†,Christian Democratic Union-Czechoslovak People?s  Party
CZECH,2105,US-DEU,Unie SvobodyÉ??Demokratick† unie,Freedom Union-Democratic Union
CZECH,2106,SNK-ED,Sdru?en°  nez†visl?ch kandid†tu-Evrop?t° demokratÇ,Union  of Independents- European Democrats
CZECH,2107,SZ,Strana zelen?≠ch,Green  Party
CZECH,2108,Nezavisli,Nez†visl°,Independents
CZECH,2109,TOP09,Top09,Top  09
CZECH,2110,VV,Veci Verejne,Public  Affairs
EST,2201,IRL,Isamaa ja Res Publica Liit,Pro  Patria and  Res Publica Union
EST,2202,EK,Eesti  Keskerakond,Estonian Center Party
EST,2203,ER,Eesti  Reformierakond,Estonian Reform  Party
EST,2204,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party
EST,2205,KP,Eestimaa Åhendatud Rahvapartei,Constitution Party
EST,2206,ERL,Eestimaa Rahvaliit,Estonian People?s  Union
EST,2207,EER,Erakond Eestimaa Rohelised,Estonian Greens
HUNG,2301,MSzP,Magyar  Szocialista P†rt,Hungarian Socialist  Party
HUNG,2302,Fidesz-M,Fidesz-Magyar Polg†ri SzôvetsÇg,Fidesz-Hungarian Civic Union
HUNG,2303,MDF,Magyar  Demokrata F¢rum,Hungarian Democratic Forum
