"Country"	"CHES.party.id"	"ParlGov.party.id"	"Verified"	"Abnormalities"	"CHES.Party.Abbrev"	"Parlgov.Party.Abbrev"	"CHES.Party.Name"	"Parlgov.Party.Name"	"CHES.Party.Name.English"	"Parlgov.Party.Name.English"
"Netherlands"	1019	1251	TRUE	NA	"SGP"	"SGP"	"Sttatkundig Gereformeerde Partij"	"Staatkundig Gereformeerde Partij"	"Reformed Political Party"	"Political Reformed Party"
"Netherlands"	1020	NA	NA	NA	"50PLUS"	NA	"50PLUS"	NA	"50PLUS"	NA
"United Kingdom"	1101	773	TRUE	NA	"Cons"	"Con"	"Conservative Party"	"Conservatives"	"Conservative Party"	"Conservatives"
"United Kingdom"	1102	1556	TRUE	NA	"Lab"	"Lab"	"Labour Party"	"Labour Party"	"Labour Party"	"Labour"
"United Kingdom"	1104	1302	TRUE	NA	"LibDems"	"LD"	"Liberal Democratic Party"	"Liberal Democrats"	"Liberal Democratic Party"	"Liberal Democrats"
"United Kingdom"	1105	1284	TRUE	NA	"SNP"	"SNP"	"Scottish National Party"	"Scottish National Party ñ P‡rtaidh N‡iseanta na h-Alba"	"Scottish National Party"	"Scottish National Party"
"United Kingdom"	1106	311	TRUE	NA	"Plaid"	"Plaid"	"Plaid Cymru"	"Plaid Cymru"	"Party of Wales"	"Plaid Cymru"
"United Kingdom"	1107	467	TRUE	NA	"Greens"	"GP"	"Green Party"	"Green Party"	"Green Party"	"Green Party"
"United Kingdom"	1108	NA	NA	NA	"UKIP"	NA	"United Kingdom Independence Party"	NA	"United Kingdom Independence Party"	NA
"United Kingdom"	1109	NA	NA	NA	"BNP"	NA	"British National Party"	NA	"British National Party"	NA
"Portugal"	1201	1295	TRUE	NA	"CDU"	"CDU"	"Coliga√ß√£o Democr√°tica Unit√°ria"	"ColigaÁ„o Democr·tico Unit·ria"	"Unitarian Democratic Coalition"	"Unified Democratic Coalition"
"Portugal"	1202	251	TRUE	NA	"CDS/PP"	"CDS-PP"	"Centro Democr√°tico e Social/ Partido Popular"	"Partido Popular"	"Democratic and Social Center/People‚Äôs Party"	"People's Party"
"Portugal"	1205	725	TRUE	NA	"PS"	"PS"	"Partido Socialista"	"Partido Socialista"	"Socialist Party"	"Socialist Party"
"Portugal"	1206	1273	TRUE	NA	"PPD/PSDBE"	"PSD"	"Partido Popular Democr√°tico/Partido Social DemocrataBloco de Esquerda"	"Partido Social Democrata"	"Democratic People‚Äôs Party/Social Democratic PartyLeft Bloc"	"Social Democratic Party"
"Portugal"	1208	557	TRUE	NA	"PPD/PSDBE"	"BE"	"Partido Popular Democr√°tico/Partido Social DemocrataBloco de Esquerda"	"Bloco de Esquerda"	"Democratic People‚Äôs Party/Social Democratic PartyLeft Bloc"	"Bloc of the Left"
"Portugal"	1209	NA	NA	NA	"MPT"	NA	"Partido da Terra"	NA	"Earth Party"	NA
"Austria"	1301	973	NA	NA	"SP√ñ"	"SPO"	"Sozialdemokratische Partei √ñsterreichs"	"Sozialdemokratische Partei ÷sterreichs"	"Social Democratic Party of Austria"	"Social Democratic Party of Austria"
"Austria"	1302	1013	NA	NA	"√ñVP"	"OVP"	"√ñsterreichische Volkspartei"	"÷sterreichische Volkspartei"	"Austrian People‚Äôs Party"	"Austrian People's Party"
"Austria"	1303	50	NA	NA	"FP√ñ"	"FPO"	"Freiheitliche Partei √ñsterreichs"	"Freiheitliche Partei ÷sterreichs"	"Freedom Party of Austria"	"Freedom Party of Austria"
"Austria"	1304	1429	NA	NA	"Gr√ºne"	"GRUENE"	"Die Gr√ºnen"	"Die Gr¸nen ñ Die gr¸ne Alternative"	"The Austrian Green Party"	"The Greens -- The Green Alternative"
"Austria"	1306	955	NA	NA	"LIF"	"LIF"	"Liberales Forum"	"Liberales Forum"	"Liberal Forum"	"Liberal Forum"
"Austria"	1307	1536	NA	NA	"BZ√ñ"	"BZO"	"B√ºndnis Zukunft √ñsterreich"	"B¸ndnis Zukunft ÷sterreich"	"Alliance for the Future of Austria"	"Alliance for the Future of Austria"
"Austria"	1308	NA	NA	NA	"MARTIN"	NA	"Liste Dr. Hans-Peter Martin"	NA	"Hans-Peter Martin‚Äôs List"	NA
"Austria"	1309	NA	NA	NA	"NEOS"	NA	"NEOS‚ÄîDas Neue √ñsterreich"	NA	"NEOS‚ÄîThe New Austria"	NA
"Austria"	1310	NA	NA	NA	"TeamStronach"	NA	"Team Stronach f√ºr √ñsterreich"	NA	"Team Stronach for Austria"	NA
"Finland"	1401	395	TRUE	NA	"SDP"	"SSDP"	"Suomen Sosialidemokraattinen"	"Suomen Sosialidemokraattinen Puolue ñ Finlands Socialdemokratiska Parti"	"Social Democratic Party of Finland"	"Social Democratic Party of Finland"
"Finland"	1402	1118	TRUE	NA	"KOK"	"KOK"	"Kansallinen Kokoomus"	"Kansallinen Kokoomus ñ Samlingspartiet"	"National Coalition Party"	"National Coalition Party"
"Finland"	1403	94	TRUE	NA	"KESK"	"KESK"	"Suomen Keskusta"	"Keskusta"	"Finnish Center Party"	"Centre Party"
"Finland"	1404	1427	TRUE	NA	"VAS"	"VAS"	"Vasemmistoliitto"	"Vasemmistoliitto ñ V‰nsterfˆrbundet"	"Left Alliance"	"Left Alliance"
"Finland"	1405	200	TRUE	NA	"PS"	"SP-P"	"Persussuomalaiset"	"Suomen Puolue ñ Perussuomalaiset"	"True Finns"	"Finnish Party -- True Finns"
"Finland"	1406	585	TRUE	NA	"RKP/SFP"	"RKP-SFP"	"Ruotsalainen kansanpuolue/ Svenska folkpartiet"	"Ruotsalainen Kansanpuolue ñ Svenska Folkepartiet i Finland"	"Swedish People‚Äôs Party"	"Swedish People's Party"
"Finland"	1408	1062	TRUE	NA	"VIHR"	"VIHR"	"Vihre√§t De Gr√ñna"	"Vihre‰ Liitto ñ Grˆna Fˆrbundet"	"Green League"	"Green League"
"Finland"	1409	1463	TRUE	NA	"SKL; KD"	"KD"	"Suomen Kristillinen Liitto; Kristillisdemokraatit"	"Suomen Kristillisdemokraatit ñ Kristdemokraterna i Finland"	"Finish Christian League; Christian Democrats"	"Finnish Christian Union"
"Finland"	1411	NA	NA	NA	"EKA"	NA	"El√§kel√§iset Kansan Asialla"	NA	"Pensioners for the People"	NA
"Finland"	1412	638	TRUE	NA	"REM"	"Rt"	"Remonttiryhm√§"	"Remonttiryhm‰"	"Reform Group"	"Reform Group"
"Finland"	1413	1105	TRUE	NA	"KIPU"	"Eko"	"Kirjava ‚Äúpuolue‚Äù - Elonkeh√§n puolesta"	"Ekologinen puolue ñ Ekologiska partiet"	"Ecological Party"	"Ecological Party"
"Sweden"	1601	882	TRUE	NA	"V"	"V"	"V√§nsterpartiet"	"V‰nsterpartiet (kommunisterna)"	"Left Party"	"Left Party (Communists)"
"Sweden"	1602	904	TRUE	NA	"SAP"	"SAP"	"Arbetarpartiet- Socialdemokraterna"	"Socialdemokraterna"	"Worker‚Äôs Party-Social Democrats"	"Social Democrats"
"Sweden"	1603	1461	TRUE	NA	"C"	"C"	"Centerpartiet"	"Centerpartiet"	"Center Party"	"Centre Party"
"Sweden"	1604	892	TRUE	NA	"FP"	"FP"	"Folkpartiet liberalerna"	"Folkpartiet"	"Liberal People‚Äôs Party"	"Liberals"
"Sweden"	1605	657	TRUE	NA	"M"	"M"	"Moderaterna"	"Moderaterna"	"Moderate Party"	"Moderate Party"
"Sweden"	1606	282	TRUE	NA	"KD"	"KD"	"Kristdemokraterna"	"Kristdemokraterna"	"Christian-Democrats"	"Christian Democrats"
"Sweden"	1607	1154	TRUE	NA	"MP"	"MP"	"Miljoepartiet de Groena"	"Miljˆpartiet de Grˆna"	"Environmental Party the Greens"	"Greens"
"Sweden"	1608	NA	NA	NA	"NyD"	NA	"Ny Demokrati"	NA	"New Democracy"	NA
"Sweden"	1609	NA	NA	NA	"JL"	NA	"Junilistan"	NA	"June List"	NA
"Sweden"	1610	1546	TRUE	NA	"SD"	"SD"	"Sverigedemokraterna"	"Sverigedemokraterna"	"Sweden Democrats"	"Sweden Democrats"
"Sweden"	1611	NA	NA	NA	"PIRAT"	NA	"Piratpartiet"	NA	"Pirate Party"	NA
"Sweden"	1612	NA	NA	NA	"FI"	NA	"Feministiskt initiativ"	NA	"Feminist Initative"	NA
"Bulgaria"	2001	NA	NA	NA	"NDSV"	NA	"Nacionalno Dvi≈æenie Simeon Vtori"	NA	"National Movement Simeon II"	NA
"Bulgaria"	2002	784	NA	NA	"ODS"	"ODS"	"Obedineni Demokraticni Sili"	"Obedineni Demokratichni Sili"	"United Democratic Forces"	"United Democratic Forces"
"Bulgaria"	2003	NA	NA	NA	"KzB"	NA	"Koalicija za BÀáalgarija"	NA	"Coalition for Bulgaria"	NA
"Bulgaria"	2004	1286	NA	NA	"DPS"	"DPS"	"Dvi≈æenie za Prava i Svobodi"	"Dvizhenie za prava i svobodi"	"Movement for Rights and Freedoms"	"Movement for Rights and Freedoms"
"Bulgaria"	2005	NA	NA	NA	"G-VMRO"	NA	"Dvi≈æenie Gergiovden"	NA	"Gergiovden-VMRO"	NA
"Bulgaria"	2006	544	NA	NA	"KSII"	"NDSV"	"Koalicija Simeon II"	"Natsionalno Dvizhenie Simeon Vtori"	"Coalition Simeon II"	"National Movement Simeon II"
"Bulgaria"	2007	535	NA	NA	"NOA"	"ATA"	"Nacionalno Obedinenie Ataka"	"Natsionalen S?yuz Ataka"	"National Union Attack"	"National Union Attack"
"Bulgaria"	2008	57	NA	NA	"DSB"	"DSB"	"Demokrati za Silna Balgarija"	"Demokrati za Silna Balgarija"	"Democrats for a Strong Bulgaria"	"Democrats for a Strong Bulgaria"
"Bulgaria"	2009	1375	NA	NA	"BNS"	"BNS"	"BÀáalgarski Naroden Sajuz"	"Balgarski Naroden Sajuz"	"Bulgarian People‚Äôs Union"	"Bulgarian People's Union"
"Bulgaria"	2010	1541	NA	NA	"GERB"	"GERB"	"Grazhdani za evropeysko razvitie na Balgariya"	"Grazhdani za evropeysko razvitie na Balgariya"	"Citizens for European Development of Bulgaria"	"Citizens for European Development of Bulgaria"
"Bulgaria"	2011	NA	NA	NA	"L"	NA	"Lider"	NA	"Lider"	NA
"Bulgaria"	2012	NA	NA	NA	"RZS"	NA	"Red, zakonnost i spravedlivost"	NA	"Order, Lawfullness, Justice"	NA
"Bulgaria"	2013	NA	NA	NA	"DBG"	NA	"Dvizhenie Bulgaria na grazhdanite"	NA	"Bulgaria for Citizens Movement"	NA
"Bulgaria"	2014	NA	NA	NA	"NFSB"	NA	"Natsionalen Front za Spasenie na Bulgaria"	NA	"National Front for the Salvation of Bulgaria"	NA
"Bulgaria"	2015	NA	NA	NA	"BBT"	NA	"Bulgaria bez Tsenzura"	NA	"Bulgaria without Censorship"	NA
"Bulgaria"	2016	NA	NA	NA	"ABV"	NA	"Alternativa za Balgarsko Vazrazhdane"	NA	"Alternative for Bulgarian Revival"	NA
"Czech Republic"	2101	789	TRUE	NA	"CSSD"	"CSSD"	"Cesk√° strana soci√°lne demokratick√°"	"?esk· strana soci·ln? demokratick·"	"Czech Social Democratic Party"	"Czech Social Democratic Party"
"Czech Republic"	2102	829	TRUE	NA	"ODS"	"ODS"	"Obcansk√° Demokratick√° Strana"	"Ob?ansk· demokratick· strana"	"Civic Democratic Party"	"Civic Democratic Party"
"Czech Republic"	2103	1173	TRUE	NA	"KSCM"	"KSCM"	"Komunistick√° strana Cech a Moravy"	"Komunistick· strana Cech a Moravy"	"Communist Party of Bohemia and Moravia"	"Communist Party of Bohemia and Moravia"
"Czech Republic"	2104	1245	TRUE	NA	"KDU-CSL"	"KDU/CSL"	"Krestansk√° demokratick√° unie-Ceskoslovensk√°strana lidov√°"	"K?es?ansk· a demokratick· unie / ?eskoslovensk· strana lidov·"	"Christian Democratic Union-Czechoslovak People‚Äôs Party"	"Christian Democratic Union / People's Party"
"Czech Republic"	2105	688	TRUE	NA	"US-DEU"	"US/DEU"	"Unie Svobody√¢ƒÇ≈ûDemokratick√° unie"	"Unie svobody / Demokratick· unie"	"Freedom Union-Democratic Union"	"Freedom Union / Democratic Union"
"Czech Republic"	2106	NA	NA	NA	"SNK-ED"	NA	"Sdru≈æen√≠ nez√°visl√Ωch kandid√°tu-Evrop≈°t√≠ demokrat√©"	NA	"Union of Independents- European Democrats"	NA
"Czech Republic"	2107	196	TRUE	NA	"SZ"	"SZ"	"Strana zelen√É¬°ch"	"Strana zelen˝ch"	"Green Party"	"Green Party"
"Czech Republic"	2108	NA	NA	NA	"Nezavisli"	NA	"Nez√°visl√≠"	NA	"Independents"	NA
"Czech Republic"	2109	2	TRUE	NA	"TOP09"	"TOP09"	"Top09"	"Tradice Odpov?dnost Prosperita 09"	"Top 09"	"Tradition Responsibility Prosperity 09"
"Czech Republic"	2110	336	TRUE	NA	"VV"	"VV"	"Veci Verejne"	"V?ci ve?ejnÈ"	"Public Affairs"	"Public Affairs"
"Czech Republic"	2111	NA	NA	NA	"ANO2011"	NA	"ANO 2011, Akce nespokojen√Ωch obÀòcan≈Ø"	NA	"ANO 2011, Action of Dissatisfied Citizens"	NA
"Czech Republic"	2112	NA	NA	NA	"USVIT"	NA	"√ösvit pÀòr√≠m√© demokracie"	NA	"Dawn of Direct Democracy"	NA
"Czech Republic"	2113	NA	NA	NA	"SVOBODNI"	NA	"Strana svobodn√Ωch obÀòcan≈Ø"	NA	"Party of Free Citizens"	NA
"Estonia"	2201	1597	TRUE	NA	"IRL"	"IRL"	"Isamaa ja Res Publica Liit"	"Erakond Isamaa ja Res Publica Liit"	"Pro Patria and Res Publica Union"	"Union of Pro Patria and Res Publica"
"Estonia"	2202	1137	TRUE	NA	"EK"	"EK"	"Eesti Keskerakond"	"Eesti Keskerakond"	"Estonian Center Party"	"Centre Party of Estonia"
"Estonia"	2203	113	TRUE	NA	"ER"	"ERe"	"Eesti Reformierakond"	"Eesti Reformierakond"	"Estonian Reform Party"	"Estonian Reform Party"
"Estonia"	2204	1448	TRUE	NA	"SDE"	"SDE-M"	"Sotsiaaldemokraatlik Erakond"	"Sotsiaaldemokraatlik Erakond ñ Mııdukad"	"Social Democratic Party"	"Social Democratic Party -- Moderates"
"Estonia"	2205	1590	TRUE	NA	"KP"	"K-EUR"	"Eestimaa √ºhendatud Rahvapartei"	"Konstitutsioonierakond ñ Eestimaa ‹hendatud Rahvapartei"	"Constitution Party"	"Constitution Party -- Estonian United People's Party"
"Estonia"	2206	417	TRUE	NA	"ERL"	"ERa"	"Eestimaa Rahvaliit"	"Eestimaa Rahvalliit"	"Estonian People‚Äôs Union"	"People's Union of Estonia"
"Estonia"	2207	219	TRUE	NA	"EER"	"EER"	"Erakond Eestimaa Rohelised"	"Erakonna Eestimaa Rohelised"	"Estonian Greens"	"Estonian Greens"
"Estonia"	2208	NA	NA	NA	"EVE"	NA	"Eesti Vabaerakond"	NA	"Estonian Free Party"	NA
"Hungary"	2301	1591	TRUE	NA	"MSzP"	"MSZP"	"Magyar Szocialista P√°rt"	"Magyar Szocialista P·rt"	"Hungarian Socialist Party"	"Hungarian Socialist Party"
"Hungary"	2302	921	TRUE	NA	"Fidesz-M"	"Fides-MPSz"	"Fidesz-Magyar Polg√°ri Sz√ñvets√©g"	"Fidesz ñ Magyar Polg·ri SzˆvetsÈg"	"Fidesz-Hungarian Civic Union"	"Fidesz-Hungarian Civic Union"
"Hungary"	2303	546	TRUE	NA	"MDF"	"MDF"	"Magyar Demokrata F√≥rum"	"Magyar Demokrata FÛrum"	"Hungarian Democratic Forum"	"Hungarian Democratic Forum"
"Hungary"	2304	1426	TRUE	NA	"SzDSz"	"SzDSz"	"Szabad Demokrat√°k Sz√ñvets√©ge"	"Szabad Demokrat·k SzˆvetsÈge"	"Alliance of Free Democrats"	"Alliance of Free Democrats"
"Hungary"	2305	95	TRUE	NA	"MIEP"	"MIEP"	"Magyar Igazs√°g √©s √©let P√°rtja"	"Magyar Igazs·g Ès …let P·rtja"	"Hungarian Justice and Life Party"	"Hungarian Justice and Life Party"
"Hungary"	2306	NA	NA	NA	"CP"	NA	"Centrump√°rt"	NA	"Centre Party"	NA
"Hungary"	2307	434	TRUE	NA	"KDNP"	"KDNP"	"Kereszt√©nydemokrata N√©pp√°rt"	"KeresztÈnydemokrata NÈpp·rt"	"Christian Democratic People‚Äôs Party"	"Christian Democratic People's Party"
"Hungary"	2308	NA	NA	NA	"JOBBIK"	NA	"Jobbik Magyarorszagert Mozgalom"	NA	"Movement for a Better Hungary"	NA
"Hungary"	2309	403	TRUE	NA	"LMP"	"LMP"	"Lehet Maz a Politika!"	"Lehet M·s a Politika"	"Politics Can Be Different"	"Politics Can Be Different"
"Hungary"	2310	NA	NA	NA	"E14"	NA	"Egy√ºtt 2014"	NA	"Together 2014"	NA
"Hungary"	2311	NA	NA	NA	"DK"	NA	"Demokratikus Koal√≠ci√≥"	NA	"Democratic Coalition"	NA
"Latvia"	2401	1518	TRUE	NA	"JL"	"JL"	"Jaunais Laikas"	"Jaunais Laiks"	"New Era Party"	"New Era"
"Latvia"	2402	1520	TRUE	NA	"PCTVL"	"PCTVL"	"Par Cilv¬Øeka Ties¬Øibam Vienota¬Ø Latvij¬Øa"	"Par cilv?ka ties?b?m vienot? Latvij?"	"For Human Rights in United Latvia"	"For Human Rights in a United Latvia"
"Latvia"	2403	811	TRUE	NA	"TP"	"TP"	"Tautas Partija"	"Tautas Partija"	"People‚Äôs Party"	"People's Party"
"Latvia"	2404	1043	TRUE	NA	"LPP"	"LPP"	"Latvijas Pirma Partija"	"Latvijas Pirm? partija"	"Lativa‚Äôs First Party"	"Latvia's First Party"
"Latvia"	2405	466	TRUE	NA	"ZZS"	"ZZS"	"Za¬∏lo un Zemnieku Savien¬Øiba"	"Za?o un Zemnieku savien?ba"	"Union of Greens and Farmers"	"Green and Farmers' Union"
"Latvia"	2406	521	TRUE	NA	"TB-LNNK"	"TB/LNNK"	"T¬Øevzemei un Br¬Øiv¬Øibai/LNNK"	"T?vzemei un Br?v?bai / LNNK"	"For Fatherland and Freedom"	"For Fatherland and Freedom / LNNK"
"Latvia"	2407	526	TRUE	NA	"LC"	"LC"	"Latvijas Cel≈°"	"Latvijas Ce?ö"	"Latvia‚Äôs Way"	"Latvian Way"
"Latvia"	2408	NA	NA	NA	"LSDSP"	NA	"Latvijas Socialdemokratiska; Stradnieku Partija"	NA	"Latvian Social Democratic Labour Party"	NA
"Latvia"	2410	1100	TRUE	NA	"SC"	"SC"	"Saskanas Centrs"	"Saska?as Centrs"	"Harmony Centre"	"Harmony Centre"
"Latvia"	2411	1942	TRUE	NA	"ZRP"	"ZRP"	"Zatlera Reform Partija"	"Zatlera Reformu partija"	"Zatler‚Äôs Reform Party"	"Zatlers' Reform Party"
"Latvia"	2412	1666	TRUE	NA	"V"	"V"	"Vienotiba"	"Vienot?ba"	"Unity"	"Unity"
"Latvia"	2413	NA	NA	NA	"NSL"	NA	"No sirds Latvijai"	NA	"For Latvia from the Heart"	NA
"Latvia"	2414	NA	NA	NA	"LRA"	NA	"Latvijas Reg¬¥ionu apvien¬Øiba"	NA	"Latvian Association of Regions"	NA
"Lithuania"	2501	1408	TRUE	NA	"LSDP"	"LSDP"	"Lietuvos socialdemokratuÀõ partija"	"Lietuvos socialdemokrat? partija"	"Social Democratic Party of Lithuania"	"Lithuanian Social Democratic Party"
"Lithuania"	2502	1261	TRUE	NA	"NDP"	"LMP-NDP"	"Naujosios demokratijos partija"	"Lietuvos moter? partija ñ Naujosios demokratijos partija"	"New Democratic Party"	"Lithuanian Womenís Party -- New Democratic Party"
"Lithuania"	2503	NA	NA	NA	"LRS"	NA	"Lietuvos rusuÀõ sƒÖjunga"	NA	"Lithuanian Russian Union"	NA
"Lithuania"	2504	856	TRUE	NA	"NS"	"NS"	"Naujoji sajunga/ socialliberalai"	"Naujoji s?junga (socialliberalai)"	"New Union (Social Liberals)"	"New Union"
"Lithuania"	2505	983	TRUE	NA	"LLS; LiCS"	"LiCS"	"Lietuvos liberaluÀõ sƒÖjunga; Liberalu ir centro sajunga"	"Liberal? ir centro s?junga"	"Liberal Union of Lithuanian; Liberal and Centre Union"	"Liberal and Centre Union"
"Lithuania"	2506	293	TRUE	NA	"TS"	"TS-LKD"	"TeÀô vyneÀô s sƒÖjunga"	"T?vyn?s s?junga ñ Lietuvos krikö?ionys demokratai"	"Homeland Union"	"Homeland Union -- Lithuanian Christian Democrats"
"Lithuania"	2507	1632	TRUE	NA	"LVP; LVLS"	"LVP"	"Lietuvos valstieƒçiuÀõ partija; Valstieciu ir Naujosios demokratijos partiju sajungos"	"Lietuvos valstie?i? partija"	"Lithuanian Peasant Party; Lithuanian Peasant Popular Union"	"Lithuanian Peasant Party"
"Lithuania"	2507	1438	TRUE	TRUE	"LVP; LVLS"	"VP/NDP"	"Lietuvos valstieƒçiuÀõ partija; Valstieciu ir Naujosios demokratijos partiju sajungos"	"Valstie?i? partija / Naujosios demokratijos partija"	"Lithuanian Peasant Party; Lithuanian Peasant Popular Union"	"Peasant Party / New Democratic Party"
"Lithuania"	2507	191	TRUE	TRUE	"LVP; LVLS"	"LVLS"	"Lietuvos valstieƒçiuÀõ partija; Valstieciu ir Naujosios demokratijos partiju sajungos"	"Lietuvos valstie?i? liaudinink? s?junga"	"Lithuanian Peasant Party; Lithuanian Peasant Popular Union"	"Lithuanian Peasant Popular Union"
"Lithuania"	2508	675	TRUE	NA	"LKDP"	"LKDP"	"Lietuvos krik≈°ƒçionys demokratai"	"Lietuvos Krikö?ionys Demokratai"	"Lithuanian Christian Democrats"	"Lithuanian Christian Democrats"
"Lithuania"	2509	887	TRUE	NA	"LCS"	"LCS"	"Lietuvos centro sajunga"	"Lietuvos centro s?junga"	"Center Union of Lithuania"	"Center Union of Lithuania"
"Lithuania"	2510	1320	TRUE	NA	"NKS"	"NKS"	"Nuosaikiuju konservatoriu sƒÖjunga"	"Nuosaiki?j? konservatori? s?junga"	"Moderate Conservative Union"	"Moderate Conservative Union"
"Lithuania"	2511	28	TRUE	NA	"LLRA"	"LLRA"	"Lietuvos lenkuÀõ rinkimuÀõ akcija"	"Lietuvos lenk? rinkim? akcija"	"Electoral Action of Lithuania‚Äôs Poles"	"Election Action of Lithuania's Poles"
"Lithuania"	2512	1562	TRUE	NA	"LLS"	"LLS"	"Lietuvos laisveÀô s sƒÖjunga"	"Lietuvos laisv?s s?junga"	"Lithuanian Liberty Union"	"Lithuanian Liberty Union"
"Lithuania"	2513	1482	TRUE	NA	"JL-PKS"	"JL/PKS"	"Lietuviu Nacionaline Partija-‚ÄúJauno ji Lietuva‚Äù"	"Jaunoji Lietuva / Politini? kalini? s?junga"	"Young Lithuania-New Nationalists and Political Prisoner‚Äôs Union"	"Young Lithuania / Union of Political Prisoners"
"Lithuania"	2514	129	TRUE	NA	"MKDS"	"MKDS"	"ModerniuÀõjuÀõi krik≈°ƒçioniuÀõ demokratuÀõ sƒÖjunga"	"Moderni?j? krikö?ioni? demokrat? s?junga"	"Modern Christian-Democratic Union"	"Modern Christian-Democratic Union"
"Lithuania"	2515	1421	TRUE	NA	"LD"	"TT-LDP"	"Tvarka ir teisingumas"	"Tvarka ir teisingumas ñ Liberal? Demokrat? Partija"	"Order and Justice"	"Order and Justice -- Liberal Democratic Party"
"Lithuania"	2516	581	TRUE	NA	"DP"	"DP"	"Darbo partija"	"Darbo Partija"	"Labour Party"	"Labour Party"
"Lithuania"	2517	1502	TRUE	NA	"TPP"	"TPP"	"Tautos prisikelimo partija"	"Tautos prisik?limo partija"	"Social Democratic Party of Lithuania"	"National Resurrection Party"
"Lithuania"	2518	482	TRUE	NA	"LRLS"	"LRLS"	"Lietuvos Respublikos Liberalu sajudis"	"Lietuvos Respublikos Liberal? s?j?dis"	"Liberals‚Äô Movement of the Republic of Lithuania"	"Liberals' Movement of the Republic of Lithuania"
"Lithuania"	2519	NA	NA	NA	"FRONT"	NA	"Fronto Partija"	NA	"Front Party"	NA
"Lithuania"	2520	NA	NA	NA	"DK"	NA	"DrƒÖsos Kelias"	NA	"The Way of Courage"	NA
"Poland"	2601	629	TRUE	NA	"SLD"	"SLD"	"Sojusz Lewicy Demokratycznej"	"Sojusz Lewicy Demokratycznej"	"Alliance of Democratic Left"	"Democratic Left Alliance"
"Poland"	2602	838	TRUE	NA	"UP"	"UP"	"Unia Pracy"	"Unia Pracy"	"Union of Labour"	"Labour Union"
"Poland"	2603	512	TRUE	NA	"PO"	"PO"	"Platforma Obywatelska"	"Platforma Obywatelska"	"Civic Platform"	"Civic Platform"
"Poland"	2604	207	TRUE	NA	"S"	"SRP"	"Samoobrona RP"	"Samoobrona Rzeczypospolitej Polskiej"	"Self Defense of the Polish Republic"	"Self-Defense of the Republic Poland"
"Poland"	2605	528	TRUE	NA	"PiS"	"PiS"	"Prawo i Sprawiedliwo≈õƒá"	"Prawo i Sprawiedliwo??"	"Law and Justice Party"	"Law and Justice"
"Poland"	2606	664	TRUE	NA	"PSL"	"PSL"	"Polskie Stronnictwo Ludowe"	"Polskie Stronnictwo Ludowe"	"Polish People‚Äôs Party"	"Polish Peasants' Party"
"Poland"	2607	987	TRUE	NA	"LPR"	"LPR"	"Liga Polskich Rodzin"	"Liga Polskich Rodzin"	"League of Polish Families"	"League of Polish Families"
"Poland"	2608	1355	TRUE	NA	"AWSP"	"AWS"	"Koalicja Akcja Wyborcza Solidarno≈õƒá Prawicy"	"Akcja Wyborcza Solidarno?? Prawicy"	"Coalition Electoral Action Solidarity of the Right"	"Solidarity Electoral Action"
"Poland"	2609	1104	TRUE	NA	"PD"	"UW-PD"	"Partia Demokratyczna"	"Unia Wolno?ci ñ Partia Demokratyczna"	"Democratic Party"	"Freedom Union -- Democratic Party"
"Poland"	2611	1140	TRUE	NA	"SDPL"	"SDPL"	"Socjaldemokracja Polska"	"Socjaldemokracja Polska"	"Social Democracy of Poland"	"Social Democracy of Poland"
"Poland"	2612	NA	NA	NA	"SD"	NA	"Stronnictwo Demokratyczne"	NA	"Democratic Party"	NA
"Poland"	2613	1945	NA	NA	"RP"	"RP"	"Tw√≥j Ruch (Ruch Palikota)"	" Ruch Palikota"	"Your Movement (Palikot‚Äôs Movement)"	"Palikot's Movement"
"Poland"	2614	NA	NA	NA	"KNP"	NA	"Kongres Nowej Prawicy"	NA	"Congress of the New Right"	NA
"Poland"	2615	NA	NA	NA	"PR"	NA	"Polska Razem"	NA	"Poland Together"	NA
"Poland"	2616	2012	NA	NA	"SP"	"SP"	"Solidarna Polska"	"Solidarna Polska"	"United Poland"	"Solidarity Poland"
"Romania"	2701	1120	TRUE	NA	"PSD"	"PSD"	"Partidul Social Democrat"	"Partidul Social Democrat"	"Social Democratic Party"	"Social Democratic Party"
"Romania"	2702	5	TRUE	NA	"PUR; PC"	"PC"	"Partidul Umanist din Romania; Partidul Conservator"	"Partidul Conservator"	"Romanian Humanist Party; Conservative Party"	"Conservative Party"
"Romania"	2703	713	TRUE	NA	"PRM"	"PRM"	"Partidul Rom√¢nia Mare"	"Partidul Rom‚nia Mare"	"Party of Great Romania"	"Greater Romania Party"
"Romania"	2704	419	TRUE	NA	"PD"	"PD"	"Partidul Democrat"	"Partidul Democrat"	"Democratic Party"	"Democratic Party"
"Romania"	2705	1015	TRUE	NA	"PNL"	"PNL"	"Partidul Na≈£ional Liberal"	"Partidul Na?ional Liberal"	"National Liberal Party"	"National Liberal Party"
"Romania"	2706	948	TRUE	NA	"UDMR"	"UDMR"	"Uniunea DemocrataÀá MaghiaraÀá din Rom√¢nia"	"Uniunea Democrat? Maghiar? din Rom‚nia"	"Hungarian Democratic Union of Romania"	"Democratic Union of Hungarians in Romania"
"Romania"	2707	NA	NA	NA	"CDR 2000"	NA	"Conven≈£ia DemocrataÀá Rom√¢naÀá"	NA	"Romanian Democratic Convention 2000"	NA
