id_type,year,id,share
cabinet,1959,832,0.835164835
cabinet,1959,869,1
cabinet,1959,880,0.123626374
cabinet,1959,931,0.508241758
cabinet,1959,932,0.038461538
cabinet,1959,1083,0.453296703
cabinet,1960,48,0.063013699
cabinet,1960,51,0.139726027
cabinet,1960,61,1
cabinet,1960,114,0.84109589
cabinet,1960,144,1
cabinet,1960,208,0.715068493
cabinet,1960,230,1
cabinet,1960,237,1
cabinet,1960,241,0.389041096
cabinet,1960,331,1
cabinet,1960,364,1
cabinet,1960,372,0.232876712
cabinet,1960,424,0.284931507
cabinet,1960,456,0.117808219
cabinet,1960,467,0.742465753
cabinet,1960,615,0.334246575
cabinet,1960,623,1
cabinet,1960,627,1
cabinet,1960,692,1
cabinet,1960,694,1
cabinet,1960,697,1
cabinet,1960,701,0.052054795
cabinet,1960,757,0.15890411
cabinet,1960,780,0.547945205
cabinet,1960,793,0.498630137
cabinet,1960,810,0.432876712
cabinet,1960,832,1
cabinet,1960,869,0.947945205
cabinet,1960,906,0.501369863
cabinet,1960,932,1
cabinet,1961,48,1
cabinet,1961,61,0.695054945
cabinet,1961,62,0.129120879
cabinet,1961,98,0.304945055
cabinet,1961,144,0.313186813
cabinet,1961,230,0.532967033
cabinet,1961,237,1
cabinet,1961,288,0.024725275
cabinet,1961,331,1
cabinet,1961,364,0.777472527
cabinet,1961,424,1
cabinet,1961,456,1
cabinet,1961,533,0.725274725
cabinet,1961,598,0.467032967
cabinet,1961,613,0.686813187
cabinet,1961,623,1
cabinet,1961,627,0.975274725
cabinet,1961,667,0.222527473
cabinet,1961,692,1
cabinet,1961,694,1
cabinet,1961,697,1
cabinet,1961,701,1
cabinet,1961,757,0.274725275
cabinet,1961,810,1
cabinet,1961,832,1
cabinet,1961,906,0.870879121
cabinet,1961,932,0.082417582
cabinet,1961,933,0.162087912
cabinet,1961,1106,0.326923077
cabinet,1961,1136,0.428571429
cabinet,1962,48,1
cabinet,1962,62,1
cabinet,1962,98,1
cabinet,1962,237,1
cabinet,1962,288,1
cabinet,1962,331,1
cabinet,1962,347,0.85989011
cabinet,1962,424,1
cabinet,1962,456,0.673076923
cabinet,1962,526,0.645604396
cabinet,1962,533,0.881868132
cabinet,1962,589,0.826923077
cabinet,1962,598,0.28021978
cabinet,1962,613,1
cabinet,1962,619,0.538461538
cabinet,1962,623,1
cabinet,1962,667,1
cabinet,1962,692,0.285714286
cabinet,1962,694,1
cabinet,1962,697,0.461538462
cabinet,1962,698,0.068681319
cabinet,1962,701,1
cabinet,1962,764,0.71978022
cabinet,1962,810,0.14010989
cabinet,1962,832,1
cabinet,1962,841,0.326923077
cabinet,1962,890,0.118131868
cabinet,1962,933,1
cabinet,1963,31,0.208791209
cabinet,1963,35,0.43956044
cabinet,1963,48,0.93956044
cabinet,1963,53,0.076923077
cabinet,1963,62,0.791208791
cabinet,1963,63,0.203296703
cabinet,1963,98,0.656593407
cabinet,1963,237,0.796703297
cabinet,1963,288,0.964285714
cabinet,1963,331,0.436813187
cabinet,1963,332,0.035714286
cabinet,1963,347,0.46978022
cabinet,1963,424,1
cabinet,1963,510,0.266483516
cabinet,1963,511,0.456043956
cabinet,1963,513,0.052197802
cabinet,1963,553,0.129120879
cabinet,1963,589,1
cabinet,1963,613,1
cabinet,1963,619,0.304945055
cabinet,1963,622,0.766483516
cabinet,1963,623,0.947802198
cabinet,1963,649,0.06043956
cabinet,1963,667,1
cabinet,1963,668,0.03021978
cabinet,1963,694,0.56043956
cabinet,1963,698,1
cabinet,1963,701,0.96978022
cabinet,1963,764,0.964285714
cabinet,1963,786,0.035714286
cabinet,1963,818,0.074175824
cabinet,1963,832,1
cabinet,1963,841,1
cabinet,1963,851,0.434065934
cabinet,1963,857,0.695054945
cabinet,1963,890,0.233516484
cabinet,1963,933,0.483516484
cabinet,1963,934,0.516483516
cabinet,1964,8,0.142465753
cabinet,1964,31,1
cabinet,1964,35,1
cabinet,1964,63,0.791780822
cabinet,1964,139,0.301369863
cabinet,1964,332,0.698630137
cabinet,1964,424,0.720547945
cabinet,1964,483,0.747945205
cabinet,1964,491,0.463013699
cabinet,1964,506,0.279452055
cabinet,1964,510,1
cabinet,1964,513,1
cabinet,1964,553,1
cabinet,1964,589,1
cabinet,1964,613,1
cabinet,1964,622,0.252054795
cabinet,1964,649,0.857534247
cabinet,1964,660,0.263013699
cabinet,1964,667,1
cabinet,1964,668,1
cabinet,1964,698,1
cabinet,1964,705,0.443835616
cabinet,1964,760,0.208219178
cabinet,1964,786,1
cabinet,1964,818,0.556164384
cabinet,1964,832,0.536986301
cabinet,1964,841,0.736986301
cabinet,1964,857,1
cabinet,1964,934,0.975342466
cabinet,1964,935,0.024657534
cabinet,1965,8,1
cabinet,1965,31,0.818681319
cabinet,1965,35,0.282967033
cabinet,1965,139,1
cabinet,1965,217,0.697802198
cabinet,1965,284,0.21978022
cabinet,1965,311,0.431318681
cabinet,1965,326,0.181318681
cabinet,1965,415,0.035714286
cabinet,1965,483,0.815934066
cabinet,1965,491,1
cabinet,1965,506,1
cabinet,1965,510,0.78021978
cabinet,1965,513,1
cabinet,1965,518,0.717032967
cabinet,1965,553,1
cabinet,1965,589,1
cabinet,1965,613,0.568681319
cabinet,1965,660,1
cabinet,1965,667,0.302197802
cabinet,1965,668,1
cabinet,1965,698,1
cabinet,1965,705,1
cabinet,1965,760,1
cabinet,1965,786,1
cabinet,1965,857,0.964285714
cabinet,1965,935,1
cabinet,1965,1035,0.184065934
cabinet,1966,8,1
cabinet,1966,44,0.096153846
cabinet,1966,67,0.046703297
cabinet,1966,139,0.401098901
cabinet,1966,170,0.082417582
cabinet,1966,217,0.85989011
cabinet,1966,261,0.884615385
cabinet,1966,284,1
cabinet,1966,311,0.211538462
cabinet,1966,326,0.917582418
cabinet,1966,339,0.598901099
cabinet,1966,349,0.978021978
cabinet,1966,353,0.788461538
cabinet,1966,415,1
cabinet,1966,433,0.854395604
cabinet,1966,455,0.107142857
cabinet,1966,491,1
cabinet,1966,506,1
cabinet,1966,513,1
cabinet,1966,518,0.892857143
cabinet,1966,553,1
cabinet,1966,561,0.703296703
cabinet,1966,589,0.263736264
cabinet,1966,602,0.14010989
cabinet,1966,660,0.892857143
cabinet,1966,668,0.903846154
cabinet,1966,681,0.736263736
cabinet,1966,698,0.021978022
cabinet,1966,705,0.145604396
cabinet,1966,733,0.741758242
cabinet,1966,760,0.258241758
cabinet,1966,786,0.068681319
cabinet,1966,825,0.107142857
cabinet,1966,935,0.03021978
cabinet,1966,936,0.96978022
cabinet,1966,1035,0.296703297
cabinet,1967,8,0.129120879
cabinet,1967,44,1
cabinet,1967,67,0.967032967
cabinet,1967,170,1
cabinet,1967,172,0.741758242
cabinet,1967,254,0.557692308
cabinet,1967,284,1
cabinet,1967,339,1
cabinet,1967,349,0.266483516
cabinet,1967,353,1
cabinet,1967,415,1
cabinet,1967,433,1
cabinet,1967,455,0.258241758
cabinet,1967,491,1
cabinet,1967,506,1
cabinet,1967,513,0.953296703
cabinet,1967,553,0.442307692
cabinet,1967,561,1
cabinet,1967,602,1
cabinet,1967,634,0.032967033
cabinet,1967,662,0.733516484
cabinet,1967,681,1
cabinet,1967,733,1
cabinet,1967,777,0.046703297
cabinet,1967,787,0.870879121
cabinet,1967,825,1
cabinet,1967,936,0.425824176
cabinet,1967,937,0.574175824
cabinet,1968,1,0.134246575
cabinet,1968,44,1
cabinet,1968,131,0.471232877
cabinet,1968,170,1
cabinet,1968,172,1
cabinet,1968,183,0.468493151
cabinet,1968,203,0.778082192
cabinet,1968,254,1
cabinet,1968,284,1
cabinet,1968,339,0.221917808
cabinet,1968,353,0.460273973
cabinet,1968,415,0.301369863
cabinet,1968,433,0.479452055
cabinet,1968,491,1
cabinet,1968,506,0.706849315
cabinet,1968,554,0.052054795
cabinet,1968,561,1
cabinet,1968,565,0.210958904
cabinet,1968,586,0.539726027
cabinet,1968,596,0.912328767
cabinet,1968,602,1
cabinet,1968,634,0.024657534
cabinet,1968,662,0.528767123
cabinet,1968,681,1
cabinet,1968,696,0.487671233
cabinet,1968,733,1
cabinet,1968,777,1
cabinet,1968,787,1
cabinet,1968,795,0.84109589
cabinet,1968,821,0.293150685
cabinet,1968,825,0.087671233
cabinet,1968,937,1
cabinet,1969,44,0.975274725
cabinet,1969,101,0.901098901
cabinet,1969,111,0.527472527
cabinet,1969,131,0.472527473
cabinet,1969,170,0.807692308
cabinet,1969,172,1
cabinet,1969,203,1
cabinet,1969,219,0.214285714
cabinet,1969,254,1
cabinet,1969,284,0.684065934
cabinet,1969,344,0.024725275
cabinet,1969,358,0.192307692
cabinet,1969,491,0.098901099
cabinet,1969,548,0.406593407
cabinet,1969,554,0.593406593
cabinet,1969,561,1
cabinet,1969,586,1
cabinet,1969,596,1
cabinet,1969,602,0.5
cabinet,1969,657,0.315934066
cabinet,1969,681,1
cabinet,1969,696,1
