"Country","CHES.party.id","ParlGov.party.id","Recommended.CHES.party.id","Disagreement","Verified","Abnormalities","CHES.Party.Abbrev","Parlgov.Party.Abbrev","CHES.Party.Name","Parlgov.Party.Name","CHES.Party.Name.English","Parlgov.Party.Name.English"
"Spain",505,894,505,FALSE,TRUE,NA,"CiU","CiU","Convergència i Unió","Convergència i Unió","Convergence and Unity","Convergence and Union"
"Spain",506,1361,506,FALSE,TRUE,NA,"PNV","PNV","Euzko Alderdi Jeltzalea/ Partido Nacionalista Vasco","Partido Nacionalista Vasco – Euzko Alderdi Jeltzalea","Basque Nationalist Party","Basque Nationalist Party"
"Spain",507,845,507,FALSE,TRUE,NA,"EA","EA","Eusko Alkartasuna","Eusko Alkartasuna","Basque Solidarity","Basque Solidarity"
"Spain",508,1317,508,FALSE,NA,NA,"EH","HB","Euskal Herritarrok","Herri Batasuna","We Basque Citizens","United People"
"Spain",510,1221,510,FALSE,TRUE,NA,"PAR","PAR","Partido Aragonés","Partido Aragonés Regionalista","Aragonese Party","Aragonese Regionalist Party"
"Spain",511,757,511,FALSE,TRUE,NA,"ERC","ERC","Esquerra Republicana de Catalunya","Esquerra Republicana de Catalunya","Republican Left of Catalonia","Republican Left of Catalonia"
"Spain",512,443,512,FALSE,TRUE,NA,"UV","UV","Unión Valenciana","Union Valenciana","Valencian Union","Valencian Union"
"Spain",513,520,513,FALSE,TRUE,NA,"BNG","BNG","Bloque Nacionalista Galego","Bloque Nacionalista Galego","Galician Nationalist Bloc","Galician Nationalist Block"
"Spain",514,NA,NA,FALSE,NA,NA,"VERDE",NA,"Los Verdes",NA,"The Greens",NA
"Spain",516,370,516,FALSE,TRUE,NA,"PA","PA","Partido Andalucista","Partidu Andalucista","Andalusian Party","Andalusian Party"
"Spain",517,234,517,FALSE,TRUE,NA,"CC","CC","Coalicion Canaria","Coalición Canaria","Coalicion Canaria","Canary Coalition"
"Spain",518,NA,NA,FALSE,TRUE,NA,"IC",NA,"Iniciativa per Catalunya",NA,"Initiative for Catalonia",NA
"Spain",519,1974,NA,FALSE,TRUE,NA,"PSC","PSC-PSOE","Partit dels Socialistes de Catalunya","Partit dels Socialistes de Catalunya","Catalan Socialist Party","Socialists' Party of Catalonia"
"Spain",520,1367,520,FALSE,TRUE,NA,"CHA","CA","Chunta Aragonesista","Chunta Aragonesista","Aragonese Council","Aragonese Council"
"Spain",521,771,521,FALSE,NA,NA,"CpE","CEP","Coalicion por Europa","Coalición por la Europa de los Pueblos","Coalition for Europe","For the Europe of the Peoples"
"Spain",522,1657,522,FALSE,NA,NA,"EdP-V","EP-V","Europa de los Pueblos-Los Verdes","Europa de los Pueblos – Verdes","Europe of the Peoples-Greens","Europe of the People -- The Greens"
"Spain",523,551,523,FALSE,TRUE,NA,"UPD","UPyD","Union Progreso y Democracia","Unión Progreso y Democracia","Union, Progress, and Democracy","Union, Progress and Democracy"
"Spain",524,1975,NA,FALSE,TRUE,NA,"Amaiur","A","Amaiur","Amaiur","Amaiur","Amaiur"
"Spain",525,NA,NA,FALSE,NA,NA,"Podemos",NA,"Podemos",NA,"We Can",NA
"Spain",526,NA,NA,FALSE,NA,NA,"Cs",NA,"Ciudadanos—Partido de la Ciudadanía",NA,"Citizens—Party of the Citizenry",NA
"France",601,686,601,FALSE,TRUE,NA,"PCF","PCF","Parti Communiste FranÃğais","Parti communiste française","French Communist Party","French Communist Party"
"France",602,1539,602,FALSE,TRUE,NA,"PS","PS","Parti Socialiste","Parti socialiste","Socialist Party","Socialist Party"
"France",603,1492,603,FALSE,TRUE,NA,"PRG","PRG","Parti Radical de Gauche","Parti radical de gauche","Left Radical Party","Radical Party of the Left"
"France",605,873,605,FALSE,TRUE,NA,"VERTS","V","Les Verts","Les Verts","Green Party","Greens"
"France",609,138,609,FALSE,TRUE,NA,"RPR; UMP","RPR","Rassemblement pour la République;Union pour un Mouvement Populaire","Rassemblement pour la république","Rally for the Republic;Union for Popular Movement","Rally for the Republic"
"France",609,658,609,FALSE,TRUE,NA,"RPR; UMP","UMP","Rassemblement pour la République;Union pour un Mouvement Populaire","Union pour un mouvement populaire","Rally for the Republic;Union for Popular Movement","Union for a Popular Movement"
"France",610,270,610,FALSE,TRUE,NA,"FN","FN","Front National","Front national","National Front","National Front"
"France",612,1101,612,FALSE,TRUE,NA,"RPF/MPF; MPF","MF","Rassemblement pour la France/Mouvement Pour la France;Mouvement Pour la France","Mouvement pour la France","Rally for France/Movement for France;Movement for France","Movement for France"
"France",613,509,613,FALSE,TRUE,NA,"UDF","UDF","Union pour la Démocracie FranÃğaise","Union pour la démocratie française","Union for French Democracy","Union for French Democracy"
"France",614,442,614,FALSE,NA,NA,"LO-LCR","LCR","Lutte Ouvrière/Ligue communiste révolutionnaire","Ligue communiste révolutionnaire","Workers Fight/RevolutionaryCommunist League","Revolutionary Communist League"
"France",615,59,615,FALSE,NA,NA,"DL","IR","Démocratie Libérale","Independants républicains","Liberal Democracy","Independent Republicans"
"France",617,NA,NA,FALSE,NA,NA,"MEI",NA,"Mouvement Ecologiste Indépendant",NA,"Independent Ecological Movement",NA
"France",618,285,618,FALSE,NA,NA,"D","droite","La Droite","divers droite","The Right","other right"
